geo_id,race_eth,pop,case_count,hosp_count,death_count,total_hosp_incidental,pcr_test_count,pcr_test_pos_count,pcr_test_pos_percent
98001,AIAN,237.7801,101,,0,,586,87,14.84641638
98001,Asian,5921.3086,1746,39,,,12141,1597,13.15377646
98001,Black,1812.3569,852,28,8,12,6301,757,12.01396604
98001,Hispanic,3885.7403,1869,58,,14,7647,1739,22.74094416
98001,Multi/Other,1669.7386,609,15,,,24273,571,2.352408025
98001,NHPI,553.4842,435,24,,,2259,382,16.91013723
98001,Unknown,,544,,0,0,12062,502,4.161830542
98001,White,21312.6389,4308,199,39,60,33508,3743,11.17046675
98002,AIAN,638.8864,367,25,,,1798,349,19.41045606
98002,Asian,2082.0616,1296,50,15,17,7177,1230,17.13807998
98002,Black,2004.7196,1266,55,,33,7884,1185,15.0304414
98002,Hispanic,7327.562,3772,111,14,40,12749,3620,28.39438387
98002,Multi/Other,1756.4481,714,30,8,9,27478,691,2.514739064
98002,NHPI,996.3441,786,53,8,15,3834,763,19.9008868
98002,Unknown,,637,,0,0,16292,598,3.670513135
98002,White,20410.9649,4868,396,124,138,39357,4544,11.54559545
98003,AIAN,390.0462,139,11,,,813,124,15.25215252
98003,Asian,7582.8524,1807,79,22,28,12630,1618,12.81076801
98003,Black,5500.9276,2707,133,17,44,17438,2437,13.97522652
98003,Hispanic,9720.4173,4191,128,13,47,16204,3857,23.80276475
98003,Multi/Other,2754.6288,844,41,,23,30809,780,2.531727742
98003,NHPI,1665.1778,985,86,13,19,4721,916,19.40266893
98003,Unknown,,788,,0,,19991,722,3.611625231
98003,White,21834.5887,4625,326,111,126,36858,4002,10.85788703
98004,AIAN,76.4424,32,,0,0,269,22,8.178438662
98004,Asian,10066.3856,2662,27,,,30083,2457,8.167403517
98004,Black,842.2218,260,,,,2142,234,10.92436975
98004,Hispanic,1895.7685,457,,0,,3648,417,11.43092105
98004,Multi/Other,1155.9651,508,,,0,33062,484,1.463916279
98004,NHPI,99.0019,39,0,0,,252,39,15.47619048
98004,Unknown,,499,,0,0,18432,455,2.468532986
98004,White,20588.5727,3237,118,37,56,41238,2876,6.974150056
98005,AIAN,49.9484,23,0,0,0,122,20,16.39344262
98005,Asian,6153.6445,1569,10,,,16666,1454,8.724348974
98005,Black,505.5061,156,,,,1086,140,12.89134438
98005,Hispanic,1482.0142,294,,0,0,2021,275,13.60712519
98005,Multi/Other,682.8359,292,,0,,15457,288,1.863233486
98005,NHPI,43.2288,28,0,0,0,190,28,14.73684211
98005,Unknown,,242,,0,0,8179,233,2.848759017
98005,White,10766.6603,1657,61,,21,18461,1512,8.190238882
98006,AIAN,90.4245,19,,0,0,205,17,8.292682927
98006,Asian,14837.7707,3405,32,,11,35005,3221,9.201542637
98006,Black,749.4174,275,,,,1984,261,13.15524194
98006,Hispanic,1617.6882,549,,0,,3465,515,14.86291486
98006,Multi/Other,1683.4201,657,,,0,35653,644,1.80629961
98006,NHPI,122.2389,61,,,0,316,56,17.72151899
98006,Unknown,,396,,0,,15139,375,2.47704604
98006,White,21171.998,3051,77,21,43,35249,2836,8.045618315
98007,AIAN,90.036,31,,0,0,213,33,15.49295775
98007,Asian,12337.1817,2319,26,,15,23830,2190,9.190096517
98007,Black,934.2704,401,15,,,2773,377,13.59538406
98007,Hispanic,3987.8685,1232,25,,8,6175,1182,19.1417004
98007,Multi/Other,946.5399,539,,,,41207,525,1.274055379
98007,NHPI,76.369,38,,0,0,246,36,14.63414634
98007,Unknown,,461,,0,,8293,444,5.353912939
98007,White,10612.1602,1978,81,27,25,21633,1847,8.53788194
98008,AIAN,102.28,25,,,,95,23,24.21052632
98008,Asian,6475.5498,1603,25,,,14488,1521,10.49834346
98008,Black,699.3316,192,,,,1466,181,12.34652115
98008,Hispanic,2393.2275,731,15,,,3503,695,19.84013703
98008,Multi/Other,992.9214,405,,,,19156,398,2.077678012
98008,NHPI,91.6806,36,,0,0,294,32,10.88435374
98008,Unknown,,311,,0,0,9273,296,3.192062979
98008,White,15317.7045,2454,115,33,36,25594,2243,8.763772759
98010,AIAN,41.2777,14,0,0,,77,15,19.48051948
98010,Asian,98.1831,157,,,,1076,156,14.49814126
98010,Black,75.2496,22,0,0,0,172,20,11.62790698
98010,Hispanic,304.1312,186,,0,,950,184,19.36842105
98010,Multi/Other,195.3074,91,,0,0,3381,88,2.602780243
98010,NHPI,21.2913,16,,0,0,70,18,25.71428571
98010,Unknown,,83,0,0,,1985,76,3.828715365
98010,White,4776.612,1148,34,,22,9578,1025,10.70160785
98011,AIAN,99.0224,22,0,0,0,394,17,4.314720812
98011,Asian,3565.7711,852,,,,7663,806,10.51807386
98011,Black,639.8484,145,,,,1303,129,9.900230238
98011,Hispanic,3521.9041,722,14,,,3873,664,17.14433256
98011,Multi/Other,1164.6612,351,,0,,12592,336,2.668360864
98011,NHPI,73.9225,31,,0,0,195,26,13.33333333
98011,Unknown,,367,0,0,0,17766,339,1.908139142
98011,White,18362.4889,3145,158,40,64,34043,2778,8.160267896
98014,AIAN,59.4069,,0,0,0,37,,
98014,Asian,287.5635,46,0,0,0,448,42,9.375
98014,Black,64.3558,,0,0,,101,,
98014,Hispanic,654.9028,122,,,0,487,97,19.91786448
98014,Multi/Other,234.1574,56,0,0,0,2053,52,2.532878714
98014,NHPI,9.9998,,0,0,0,10,,
98014,Unknown,,61,0,0,0,2667,52,1.94975628
98014,White,6591.7198,854,31,,14,9050,704,7.779005525
98019,AIAN,56.6826,,0,0,0,86,,
98019,Asian,440.2,101,,0,,987,91,9.219858156
98019,Black,52.4046,19,,0,0,121,12,9.917355372
98019,Hispanic,957.5425,225,,0,,1268,175,13.80126183
98019,Multi/Other,486.1686,85,,0,0,3234,74,2.288188002
98019,NHPI,13.3395,,,0,0,63,,
98019,Unknown,,83,0,0,0,4902,67,1.366789066
98019,White,10097.6081,1398,37,,27,13953,1101,7.890776177
98022,AIAN,308.5311,166,,0,0,817,154,18.8494492
98022,Asian,276.9401,54,,,,587,55,9.36967632
98022,Black,109.7492,53,,0,,485,51,10.51546392
98022,Hispanic,1876.6223,699,28,,,3406,670,19.67116853
98022,Multi/Other,605.2753,253,8,,,16773,242,1.442794968
98022,NHPI,43.0874,38,,0,0,186,39,20.96774194
98022,Unknown,,516,,0,,11049,492,4.452891664
98022,White,19778.2862,4678,198,57,56,38860,4338,11.16314977
98023,AIAN,309.0476,133,,0,,922,119,12.90672451
98023,Asian,9131.9773,1959,46,,18,14710,1758,11.9510537
98023,Black,4755.583,1918,61,,25,12911,1726,13.36844551
98023,Hispanic,8254.5152,3533,84,,32,14502,3187,21.97627913
98023,Multi/Other,3067.3948,917,28,10,,33447,868,2.595150537
98023,NHPI,1303.2575,1024,73,,6,5360,970,18.09701493
98023,Unknown,,790,,,,16495,732,4.437708396
98023,White,24814.7866,5397,237,54,91,42173,4724,11.20147962
98024,AIAN,35.63,,0,0,0,24,,
98024,Asian,255.2043,23,0,0,0,214,21,9.813084112
98024,Black,25.3946,,0,0,0,38,,
98024,Hispanic,277.608,49,,0,,176,39,22.15909091
98024,Multi/Other,208.9603,36,0,0,0,1683,35,2.079619727
98024,NHPI,13.2545,,0,0,0,13,,
98024,Unknown,,61,0,0,0,2112,52,2.462121212
98024,White,4809.6005,652,16,0,,6222,541,8.694953391
98027,AIAN,117.4098,33,0,0,,208,31,14.90384615
98027,Asian,3389.7891,985,8,,,9119,943,10.34104617
98027,Black,379.5357,136,,,,1076,119,11.05947955
98027,Hispanic,1880.7877,487,12,,,3000,459,15.3
98027,Multi/Other,1009.9509,374,,0,,17927,362,2.019300496
98027,NHPI,63.6162,40,,0,0,252,42,16.66666667
98027,Unknown,,275,,0,,12988,255,1.963350785
98027,White,21514.9966,3643,138,51,46,42790,3321,7.761159149
98028,AIAN,89.2725,27,0,0,0,181,14,7.73480663
98028,Asian,3323.2511,611,9,,,6724,556,8.268887567
98028,Black,435.8542,152,,0,,1388,138,9.942363112
98028,Hispanic,1971.8542,532,16,,,3110,507,16.3022508
98028,Multi/Other,1030.552,244,,0,,11828,232,1.961447413
98028,NHPI,92.3849,44,0,0,0,237,36,15.18987342
98028,Unknown,,236,0,0,,13375,221,1.652336449
98028,White,16306.8557,2629,106,24,37,29996,2355,7.851046806
98029,AIAN,72.8915,20,,0,0,122,19,15.57377049
98029,Asian,9270.7204,1644,15,,9,16870,1555,9.21754594
98029,Black,489.2559,183,,0,,1442,162,11.23439667
98029,Hispanic,1704.3067,458,,0,0,2808,430,15.31339031
98029,Multi/Other,1271.5447,423,,0,,18578,406,2.185380558
98029,NHPI,64.4556,33,,0,,249,30,12.04819277
98029,Unknown,,245,,0,0,10575,217,2.052009456
98029,White,17114.9354,2416,73,40,37,30670,2177,7.098141506
98030,AIAN,197.3289,77,,,,550,63,11.45454545
98030,Asian,7976.5995,2625,74,10,13,15390,2519,16.36777128
98030,Black,4715.1203,1347,42,,22,8811,1266,14.36840313
98030,Hispanic,6032.086,1923,51,,21,7152,1794,25.08389262
98030,Multi/Other,1961.8714,807,27,,,23879,780,3.266468445
98030,NHPI,541.1151,502,23,,,2252,471,20.91474245
98030,Unknown,,463,,0,0,13503,437,3.236317855
98030,White,15995.0499,3193,199,64,55,24645,2924,11.86447555
98031,AIAN,190.81,71,0,0,,620,69,11.12903226
98031,Asian,11828.1369,3500,90,17,22,20978,3393,16.17408714
98031,Black,4605.1661,1558,73,,26,9451,1461,15.45868162
98031,Hispanic,5478.9832,1897,45,,10,7367,1787,24.25682096
98031,Multi/Other,2074.6222,814,20,,,29408,791,2.689744287
98031,NHPI,798.1209,504,23,,,2231,490,21.96324518
98031,Unknown,,563,,0,0,15980,533,3.335419274
98031,White,17194.9288,3154,180,42,46,27206,2925,10.75130486
98032,AIAN,279.2546,108,,0,,749,94,12.55006676
98032,Asian,5137.9277,1609,41,10,,11146,1535,13.77175668
98032,Black,4223.8801,1803,61,12,25,11953,1697,14.19727265
98032,Hispanic,8635.9147,3267,107,14,45,12746,3005,23.57602385
98032,Multi/Other,1731.7977,716,26,0,,28237,691,2.447143818
98032,NHPI,1115.2814,632,42,,,3437,606,17.63165551
98032,Unknown,,612,0,0,0,14157,577,4.075722258
98032,White,13696.4651,2875,151,35,54,25712,2590,10.07311761
98033,AIAN,127.6719,28,,0,0,267,27,10.11235955
98033,Asian,5685.8549,1571,17,,11,18905,1453,7.685797408
98033,Black,675.7766,207,,0,,1466,189,12.89222374
98033,Hispanic,2352.8882,545,7,,,4000,513,12.825
98033,Multi/Other,1660.4024,583,,,,27287,565,2.070583062
98033,NHPI,133.5375,44,,0,,293,42,14.33447099
98033,Unknown,,359,0,0,0,18450,328,1.777777778
98033,White,28207.2986,4506,136,23,54,53487,4022,7.519584198
98034,AIAN,205.1166,48,,0,,295,41,13.89830508
98034,Asian,8002.5627,1678,34,13,14,16865,1562,9.261784761
98034,Black,1214.9878,348,13,,,2496,307,12.29967949
98034,Hispanic,5080.8151,1247,32,,16,6540,1158,17.70642202
98034,Multi/Other,2342.0428,719,16,,,24911,693,2.781903577
98034,NHPI,222.8272,78,,0,,518,70,13.51351351
98034,Unknown,,550,,0,0,22429,491,2.189130144
98034,White,34205.5289,5542,247,91,94,55748,4881,8.755471048
98038,AIAN,176.6799,74,,,0,469,67,14.28571429
98038,Asian,1878.9582,971,19,,,6526,916,14.03616304
98038,Black,774.5141,310,18,0,,2351,282,11.99489579
98038,Hispanic,2377.2494,734,9,0,,3433,681,19.83687737
98038,Multi/Other,1687.3164,603,,,,21733,582,2.677955183
98038,NHPI,151.6764,96,,0,,482,90,18.67219917
98038,Unknown,,488,,0,0,12742,477,3.743525349
98038,White,28034.0873,6239,171,26,62,50188,5784,11.52466725
98039,AIAN,8.4884,,0,0,0,17,,
98039,Asian,509.0625,165,,0,,1894,150,7.919746568
98039,Black,14.0966,,0,0,0,43,,
98039,Hispanic,100.1759,12,0,0,0,186,16,8.602150538
98039,Multi/Other,136.2435,25,0,0,0,3014,26,0.862641009
98039,NHPI,4.4428,,0,0,0,,,
98039,Unknown,,22,0,0,0,1528,15,0.981675393
98039,White,2465.2997,351,,,,4952,324,6.542810985
98040,AIAN,45.2688,14,,0,,205,11,5.365853659
98040,Asian,4989.2533,1032,15,,12,13384,958,7.157800359
98040,Black,485.3095,95,,0,,979,79,8.069458631
98040,Hispanic,828.0269,213,,0,,2054,185,9.006815969
98040,Multi/Other,1051.6059,355,,,,25766,327,1.269114337
98040,NHPI,47.6102,25,,0,0,190,17,8.947368421
98040,Unknown,,237,0,0,0,15914,213,1.338444137
98040,White,17022.9254,3087,88,27,41,46163,2779,6.019972705
98042,AIAN,303.8379,95,,,,632,86,13.60759494
98042,Asian,5512.836,1980,41,,12,12569,1890,15.03699578
98042,Black,2203.1063,830,35,,14,5769,781,13.53787485
98042,Hispanic,4951.5603,1682,41,,,7000,1571,22.44285714
98042,Multi/Other,2561.491,926,32,0,11,26920,898,3.335809807
98042,NHPI,326.6698,240,,0,,1239,207,16.70702179
98042,Unknown,,563,,0,,15955,535,3.353180821
98042,White,33046.9587,6776,303,63,100,54943,6178,11.24438054
98045,AIAN,134.6274,21,,,0,160,18,11.25
98045,Asian,299.3506,117,,,,808,103,12.74752475
98045,Black,82.0293,27,0,0,,216,18,8.333333333
98045,Hispanic,838.3478,177,,,0,692,149,21.53179191
98045,Multi/Other,497.0337,119,,0,,4444,98,2.205220522
98045,NHPI,37.0819,17,,,,160,18,11.25
98045,Unknown,,334,,0,,7499,197,2.627016936
98045,White,13548.2119,2179,64,23,22,18952,1676,8.843393837
98047,AIAN,89.8965,45,,0,0,239,41,17.15481172
98047,Asian,813.1072,253,,,,1487,235,15.80363147
98047,Black,260.3427,146,,0,0,814,135,16.58476658
98047,Hispanic,1226.0157,573,21,,,2002,548,27.37262737
98047,Multi/Other,373.3742,128,,0,,6345,121,1.907013396
98047,NHPI,154.7141,175,14,,,778,170,21.85089974
